Line ID,Utility ID,Source Substation ID,Source Substation,Destination Substation ID,Destination Substation,Voltage (kV),Length (km),Capacity (MVA),Status,Line Type,Substation ID_src,Short Name_src,Region_src,Country_src,Latitude_src,Longitude_src,Voltage (kV)_src,Capacity (MVA)_src,Substation ID_dst,Short Name_dst,Region_dst,Country_dst,Latitude_dst,Longitude_dst,Voltage (kV)_dst,Capacity (MVA)_dst,Utility Name,Alias,Utility Type,Utility Country,Inter-Regional,Cross-Border
1,2,1,Achimota Substation,2,Tema Substation,11,25.2,215.0,Active,Underground,1,Achimota,Greater Accra,Ghana,5.6085,-0.2193,11,6.4,2,Tema,Greater Accra,Ghana,5.6596,-0.0226,330,48.5,Northern Electricity Distribution Company,NEDCo,Distribution,Ghana,False,False
2,2,1,Achimota Substation,3,Mallam Substation,11,11.0,36.4,Active,Overhead,1,Achimota,Greater Accra,Ghana,5.6085,-0.2193,11,6.4,3,Mallam,Greater Accra,Ghana,5.563,-0.2971,330,25.2,Northern Electricity Distribution Company,NEDCo,Distribution,Ghana,False,False
3,3,1,Achimota Substation,5,Kaneshie Substation,11,5.9,277.4,Active,Overhead,1,Achimota,Greater Accra,Ghana,5.6085,-0.2193,11,6.4,5,Kaneshie,Greater Accra,Ghana,5.5691,-0.2413,161,146.0,Ghana Grid Company,GRIDCo,Transmission,Ghana,False,False
4,1,2,Tema Substation,3,Mallam Substation,330,34.4,39.0,Active,Underground,2,Tema,Greater Accra,Ghana,5.6596,-0.0226,330,48.5,3,Mallam,Greater Accra,Ghana,5.563,-0.2971,330,25.2,Electricity Company of Ghana,ECG,Distribution,Ghana,False,False
5,3,2,Tema Substation,4,Legon Substation,161,19.5,186.5,Active,Underground,2,Tema,Greater Accra,Ghana,5.6596,-0.0226,330,48.5,4,Legon,Greater Accra,Ghana,5.6401,-0.1799,161,241.9,Ghana Grid Company,GRIDCo,Transmission,Ghana,False,False
6,2,3,Mallam Substation,4,Legon Substation,161,17.1,220.5,Active,Underground,3,Mallam,Greater Accra,Ghana,5.563,-0.2971,330,25.2,4,Legon,Greater Accra,Ghana,5.6401,-0.1799,161,241.9,Northern Electricity Distribution Company,NEDCo,Distribution,Ghana,False,False
7,3,3,Mallam Substation,5,Kaneshie Substation,161,7.0,108.5,Active,Overhead,3,Mallam,Greater Accra,Ghana,5.563,-0.2971,330,25.2,5,Kaneshie,Greater Accra,Ghana,5.5691,-0.2413,161,146.0,Ghana Grid Company,GRIDCo,Transmission,Ghana,False,False
8,3,3,Mallam Substation,6,Aboadze Junction Substation,161,22.4,298.9,Under Maintenance,Overhead,3,Mallam,Greater Accra,Ghana,5.563,-0.2971,330,25.2,6,Aboadze Junction,Greater Accra,Ghana,5.5921,-0.1439,161,52.2,Ghana Grid Company,GRIDCo,Transmission,Ghana,False,False
9,1,4,Legon Substation,5,Kaneshie Substation,161,13.4,266.6,Active,Underground,4,Legon,Greater Accra,Ghana,5.6401,-0.1799,161,241.9,5,Kaneshie,Greater Accra,Ghana,5.5691,-0.2413,161,146.0,Electricity Company of Ghana,ECG,Distribution,Ghana,False,False
10,2,4,Legon Substation,6,Aboadze Junction Substation,161,8.4,217.0,Active,Overhead,4,Legon,Greater Accra,Ghana,5.6401,-0.1799,161,241.9,6,Aboadze Junction,Greater Accra,Ghana,5.5921,-0.1439,161,52.2,Northern Electricity Distribution Company,NEDCo,Distribution,Ghana,False,False
11,1,7,Kumasi Central Substation,10,Mampong Substation,69,53.3,269.1,Active,Overhead,7,Kumasi Central,Ashanti,Ghana,6.6856,-1.623,161,221.4,10,Mampong,Ashanti,Ghana,7.0553,-1.4029,69,189.6,Electricity Company of Ghana,ECG,Distribution,Ghana,False,False
12,3,7,Kumasi Central Substation,11,Konongo Substation,69,50.4,116.0,Active,Underground,7,Kumasi Central,Ashanti,Ghana,6.6856,-1.623,161,221.4,11,Konongo,Ashanti,Ghana,6.6094,-1.2163,69,285.2,Ghana Grid Company,GRIDCo,Transmission,Ghana,False,False
13,2,8,Ejisu Substation,9,Obuasi Substation,33,76.1,256.9,Active,Underground,8,Ejisu,Ashanti,Ghana,6.7128,-1.4716,330,355.9,9,Obuasi,Ashanti,Ghana,6.2091,-1.6557,33,47.5,Northern Electricity Distribution Company,NEDCo,Distribution,Ghana,False,False
14,2,8,Ejisu Substation,11,Konongo Substation,69,37.8,198.4,Active,Underground,8,Ejisu,Ashanti,Ghana,6.7128,-1.4716,330,355.9,11,Konongo,Ashanti,Ghana,6.6094,-1.2163,69,285.2,Northern Electricity Distribution Company,NEDCo,Distribution,Ghana,False,False
15,1,9,Obuasi Substation,11,Konongo Substation,33,71.0,284.6,Active,Overhead,9,Obuasi,Ashanti,Ghana,6.2091,-1.6557,33,47.5,11,Konongo,Ashanti,Ghana,6.6094,-1.2163,69,285.2,Electricity Company of Ghana,ECG,Distribution,Ghana,False,False
