Line ID,Utility ID,Source Substation ID,Source Substation,Destination Substation ID,Destination Substation,Voltage (kV),Length (km),Capacity (MVA),Status,Line Type,Source Name,Source Region,Source Country,Source Voltage (kV),Source Capacity (MVA),Source Status,Destination Name,Destination Region,Destination Country,Destination Voltage (kV),Destination Capacity (MVA),Destination Status,Utility Name,Utility Alias,Utility Code,Utility Type,Utility Country
1,2,1,Achimota Substation,2,Tema Substation,11,25.2,215.0,Active,Underground,Achimota Substation,Greater Accra,Ghana,11,6.4,Active,Tema Substation,Greater Accra,Ghana,330,48.5,Active,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana
2,2,1,Achimota Substation,3,Mallam Substation,11,11.0,36.4,Active,Overhead,Achimota Substation,Greater Accra,Ghana,11,6.4,Active,Mallam Substation,Greater Accra,Ghana,330,25.2,Active,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana
3,3,1,Achimota Substation,5,Kaneshie Substation,11,5.9,277.4,Active,Overhead,Achimota Substation,Greater Accra,Ghana,11,6.4,Active,Kaneshie Substation,Greater Accra,Ghana,161,146.0,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
4,1,2,Tema Substation,3,Mallam Substation,330,34.4,39.0,Active,Underground,Tema Substation,Greater Accra,Ghana,330,48.5,Active,Mallam Substation,Greater Accra,Ghana,330,25.2,Active,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana
5,3,2,Tema Substation,4,Legon Substation,161,19.5,186.5,Active,Underground,Tema Substation,Greater Accra,Ghana,330,48.5,Active,Legon Substation,Greater Accra,Ghana,161,241.9,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
6,2,3,Mallam Substation,4,Legon Substation,161,17.1,220.5,Active,Underground,Mallam Substation,Greater Accra,Ghana,330,25.2,Active,Legon Substation,Greater Accra,Ghana,161,241.9,Active,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana
7,3,3,Mallam Substation,5,Kaneshie Substation,161,7.0,108.5,Active,Overhead,Mallam Substation,Greater Accra,Ghana,330,25.2,Active,Kaneshie Substation,Greater Accra,Ghana,161,146.0,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
8,3,3,Mallam Substation,6,Aboadze Junction Substation,161,22.4,298.9,Under Maintenance,Overhead,Mallam Substation,Greater Accra,Ghana,330,25.2,Active,Aboadze Junction Substation,Greater Accra,Ghana,161,52.2,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
9,1,4,Legon Substation,5,Kaneshie Substation,161,13.4,266.6,Active,Underground,Legon Substation,Greater Accra,Ghana,161,241.9,Active,Kaneshie Substation,Greater Accra,Ghana,161,146.0,Active,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana
10,2,4,Legon Substation,6,Aboadze Junction Substation,161,8.4,217.0,Active,Overhead,Legon Substation,Greater Accra,Ghana,161,241.9,Active,Aboadze Junction Substation,Greater Accra,Ghana,161,52.2,Active,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana
11,1,7,Kumasi Central Substation,10,Mampong Substation,69,53.3,269.1,Active,Overhead,Kumasi Central Substation,Ashanti,Ghana,161,221.4,Active,Mampong Substation,Ashanti,Ghana,69,189.6,Active,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana
12,3,7,Kumasi Central Substation,11,Konongo Substation,69,50.4,116.0,Active,Underground,Kumasi Central Substation,Ashanti,Ghana,161,221.4,Active,Konongo Substation,Ashanti,Ghana,69,285.2,Active,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana
13,2,8,Ejisu Substation,9,Obuasi Substation,33,76.1,256.9,Active,Underground,Ejisu Substation,Ashanti,Ghana,330,355.9,Active,Obuasi Substation,Ashanti,Ghana,33,47.5,Active,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana
14,2,8,Ejisu Substation,11,Konongo Substation,69,37.8,198.4,Active,Underground,Ejisu Substation,Ashanti,Ghana,330,355.9,Active,Konongo Substation,Ashanti,Ghana,69,285.2,Active,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana
15,1,9,Obuasi Substation,11,Konongo Substation,33,71.0,284.6,Active,Overhead,Obuasi Substation,Ashanti,Ghana,33,47.5,Active,Konongo Substation,Ashanti,Ghana,69,285.2,Active,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana
16,2,10,Mampong Substation,11,Konongo Substation,69,64.2,61.5,Active,Underground,Mampong Substation,Ashanti,Ghana,69,189.6,Active,Konongo Substation,Ashanti,Ghana,69,285.2,Active,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana
17,1,12,Takoradi Substation,13,Aboadze Substation,33,12.3,78.8,Active,Overhead,Takoradi Substation,Western,Ghana,33,14.0,Active,Aboadze Substation,Western,Ghana,33,42.7,Active,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana
