Substation,Region,Degree,Betweenness,Components after,Largest component after,Extra fragments,Nodes cut from giant component
Kumasi Central,Ashanti,5,0.501,6,26,3,15
Cape Coast,Central,5,0.526,5,20,2,21
Takoradi,Western,4,0.516,5,22,2,19
Koforidua,Eastern,4,0.498,5,24,2,17
Ho,Volta,4,0.436,5,28,2,13
Sunyani,Bono,3,0.334,5,32,2,9
Tamale,Northern,3,0.238,5,35,2,6
Achimota,Greater Accra,4,0.297,4,33,1,8
Tema,Greater Accra,4,0.126,4,38,1,3
Konongo,Ashanti,4,0.086,4,39,1,2
Mallam,Greater Accra,5,0.0,3,41,0,0
Legon,Greater Accra,4,0.043,3,41,0,0
